Fernando MusleraGalatasaray
Mariano FerreiraGalatasaray
Maicon PereiraGalatasaray
Serdar AzizGalatasaray
Ahmet ÇalıkGalatasaray
Tolga CiğerciGalatasaray
Yasin ÖztekinGalatasaray
Selçuk İnanGalatasaray
Eren DerdiyokGalatasaray
Younès BelhandaGalatasaray
Sinan GümüşGalatasaray
Martin LinnesGalatasaray
Ryan DonkGalatasaray
Emrah BaşsanGalatasaray
Bafétimbi GomisGalatasaray
Tarık ÇamdalGalatasaray
Hakan BaltaGalatasaray
Lionel CaroleGalatasaray
Garry RodriguesGalatasaray
Koray GünterGalatasaray
Nigel de JongGalatasaray
Luis CavandaGalatasaray
Eray İşcanGalatasaray
